problem_type,M_strategy,n_bits,layers,vseed,eta_req,eta_eff,d_eta,M_star,s_conv,norm_final,gap_pen,beta_pred,beta_fit,beta_ratio,se_beta,rel_se,z_beta,D_therm,D_pred,D_unif,R_therm,R_pred,D_shape,D_shell,R_shape,n_levels,entropy_bits,n_eff_states,p_max,E_min,E_mean,E_sd,contrast,n_shots,n_cells,G2_therm,p_therm,dG2_unif,p_vs_unif,n_shots_detect,beta_identified,verdict
TSP_rand,feasibility,9,5,42,0.25,0.8400797542781278,1.5210055437364645e-14,1130607900.6753862,615707403.8568275,3.6725493102509135,1.8362746551254567,0.5185185185185185,1.1062113078536453,2.1334075222891733,0.01980274143839693,0.01790140933997475,29.677344985962797,0.2061622883172784,0.8502212309679134,3.4580691863143738,0.9403822546023126,0.7541341178676407,0.2060771841838697,8.510413340870326e-05,0.9404053982649059,83,4.011060733853331,16.12313889610835,0.1400132923796907,0.006666663376610107,0.85555729271464,2.40871354305171,2.66454615870402,1000,12,109.52682733873175,6.646536281734501e-19,6727.339960655061,0.0,167.14661145672818,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,43,0.25,0.840079543433883,1.1102230246251565e-14,740942338.3884132,403503003.25653356,3.672549311447613,1.8362746557238065,0.5185185185185185,1.1062111469660267,2.133407212005909,0.01980273841668917,0.017901409211976905,29.677341389927065,0.20616231981109362,0.8502209522520403,3.4580685928244423,0.9403822352630933,0.7541341562696978,0.20607720797352114,8.511183757248242e-05,0.9404053810243451,83,4.01106159007828,16.12314846503143,0.1400132572389825,0.006666661656269699,0.8555577867924881,2.408713381987696,2.6645455930010264,1000,12,109.54104988891649,6.60280227207947e-19,6727.332685363005,0.0,167.12490953701806,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,44,0.25,0.8400794348582129,1.0658141036401503e-14,783924661.5767479,426910353.2767033,3.672549309520468,1.836274654760234,0.5185185185185185,1.1062110648573975,2.1334070536535523,0.019802736873500235,0.017901409145688687,29.67733955629747,0.20616233601075218,0.8502208095818963,3.4580682871168626,0.940382225308038,0.7541341757913169,0.20607722021020275,8.511580054942902e-05,0.9404053721488305,83,4.011062031121095,16.123153394000944,0.14001323914303737,0.006666661930673095,0.8555580418594759,2.408713297599541,2.664545301873762,1000,12,109.54742079051316,6.583305196234366e-19,6727.356649661244,0.0,167.1151901265077,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,45,0.25,0.8400795970678505,9.769962616701378e-15,1007238614.198286,548522853.690565,3.672549311013735,1.8362746555068674,0.5185185185185185,1.1062111879122578,2.1334072909736403,0.019802739185481307,0.01790140924433682,29.677342305483453,0.20616231185024136,0.8502210232104517,3.458068743749413,0.9403822401671779,0.7541341464806743,0.20607720197348264,8.510987675872106e-05,0.9404053853942931,83,4.011061372339586,16.12314603164604,0.14001326617797683,0.006666662975655885,0.8555576620383172,2.408713423081111,2.664545737086757,1000,12,109.53796481307998,6.612264338627161e-19,6727.337535539627,0.0,167.1296165171137,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,46,0.25,0.8400793505361108,1.6986412276764895e-14,715366796.4972556,389575053.170935,3.672549310714575,1.8362746553572875,0.5185185185185185,1.1062110002945194,2.13340692913943,0.01980273566072463,0.017901409094153213,29.677338113520815,0.20616234839888134,0.8502206977003168,3.4580680496849743,0.940382217632281,0.7541341912638848,0.2060772295252349,8.511887364642812e-05,0.9404053653102087,83,4.011062373662912,16.123157222152255,0.1400132250893547,0.006666661478604572,0.8555582397858417,2.408713233575084,2.66454507553574,1000,12,109.46574505800154,6.837675418257623e-19,6727.382852174113,0.0,167.2398798690401,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,47,0.25,0.8400796368281103,1.176836406102666e-14,1070670243.294444,583066503.7949595,3.672549310673331,1.8362746553366656,0.5185185185185185,1.1062112182887394,2.1334073495568546,0.019802739755976767,0.017901409268485585,29.67734298446488,0.2061623058957587,0.8502210758017104,3.45806885567023,0.9403822438186237,0.7541341392298785,0.20607719747202954,8.510842372916327e-05,0.9404053886499255,83,4.011061210871965,16.12314422713033,0.14001327280468717,0.006666663193135402,0.8555575687203922,2.4087134533480525,2.664545843736626,1000,12,109.53507967708771,6.621125431824035e-19,6727.339870396522,0.0,167.1340186837384,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,48,0.25,0.8400796432074361,1.1657341758564144e-14,1166711356.0251892,635368653.9293975,3.672549310733969,1.8362746553669844,0.5185185185185185,1.1062112231223726,2.133407358878862,0.019802739846758313,0.017901409272329964,29.677343092504383,0.20616230497419955,0.8502210842173266,3.4580688736205447,0.9403822443945858,0.7541341380725138,0.20607719678320882,8.510819099072364e-05,0.940405389162488,83,4.01106118497517,16.123143937715206,0.1400132738679081,0.006666663477658253,0.8555575540537562,2.4087134583502405,2.6645458609129395,1000,12,109.53537538217886,6.620216690252378e-19,6727.336662874885,0.0,167.13356748356622,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,49,0.25,0.8400794554934481,1.4876988529977098e-14,992757843.7142074,540636903.5999457,3.672549310280961,1.8362746551404805,0.5185185185185185,1.1062110803211334,2.1334070834764716,0.019802737164119517,0.017901409158160644,29.677339901650168,0.20616233307339252,0.8502208366345168,3.4580683451893472,0.9403822271586411,0.754134172097179,0.20607721802437978,8.511504901273503e-05,0.9404053737947085,83,4.011061947340245,16.123152457689795,0.14001324258224396,0.0066666629229347385,0.8555579946417954,2.4087133141911914,2.6645453574753355,1000,12,109.54291747723468,6.597080865354484e-19,6727.340071489672,0.0,167.12206023798606,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,50,0.25,0.8400794469937899,1.1435297153639112e-14,926727978.233248,504678303.49846756,3.672549312340557,1.8362746561702785,0.5185185185185185,1.1062110732343091,2.133407069809025,0.019802737031343883,0.017901409152816735,29.677339742763213,0.20616233416044222,0.8502208245535248,3.4580683212218712,0.9403822264310854,0.7541341738866778,0.20607721880664004,8.511535380217872e-05,0.9404053731501835,83,4.011061981917958,16.12315284412056,0.14001324116563366,0.006666662657532327,0.8555580147413634,2.408713308866516,2.6645453345149925,1000,12,109.47390913918684,6.8118139510593625e-19,6727.373718020178,0.0,167.22740785659983,True,near-thermal (small but resolvable deviation)
TSP_rand,feasibility,9,5,51,0.25,0.8400792913404357,1.609823385706477e-14,1091865167.8948662,594608853.7556872,3.6725493103521516,1.8362746551760758,0.5185185185185185,1.1062109552860357,2.133406842337355,0.01980273481488998,0.01790140905788583,29.677337108287805,0.20616235750370834,0.8502206198320201,3.458067882983994,0.9403822121253995,0.7541342019294434,0.2060772364650329,8.512103867544529e-05,0.9404053603930916,83,4.011062614161559,16.123159909898252,0.14001321522340882,0.006666663261002755,0.8555583808543641,2.4087131885094784,2.6645449172711433,1000,12,109.47116303508206,6.820501901847757e-19,6727.379554853019,0.0,167.2316027866473,True,near-thermal (small but resolvable deviation)
