problem_type,M_strategy,n_bits,layers,vseed,eta_req,eta_eff,d_eta,M_star,s_conv,norm_final,gap_pen,beta_pred,beta_fit,beta_ratio,se_beta,rel_se,z_beta,D_therm,D_pred,D_unif,R_therm,R_pred,D_shape,D_shell,R_shape,n_levels,entropy_bits,n_eff_states,p_max,E_min,E_mean,E_sd,contrast,n_shots,n_cells,G2_therm,p_therm,dG2_unif,p_vs_unif,n_shots_detect,D_split_unif,D_feas_unif,D_infeas_unif,D_split_therm,D_feas_therm,D_infeas_therm,frac_split,n_feasible,p_feasible,S_in_feas,beta_band,se_beta_band,band_ratio,D_in_feas,D_in_feas_glob,R_in_feas,R_in_feas_glob,n_cells_feas,p_flat_feas,p_therm_feas,n_shots_detect_flat,feas_structured,beta_identified,verdict,verdict_base
NPP,optimality,9,5,52,0.25,0.662731808219757,1.1324274851176597e-14,227682354.58340496,94515163.03404835,2.4123699125532667,2.4089505564454687,0.5185185185185185,4.255463887448791,8.206966068651239,1.0744208359351495,0.2524803086930388,3.4781021029601744,0.000943489434841218,0.9756949079796419,2.9422950523663967,0.999679335546555,0.6683898485317029,0.0009434894348403482,8.697469827678717e-16,0.9996793355465552,120,4.755165519118857,27.00520358142325,0.03752921436700027,0.004818845837846423,0.010582195884738105,0.022651253599260183,0.09639159169709614,1000,5,1.460082998145644,0.6915133137767916,4736.889000897551,0.0,5352.249093494105,2.9422379647327785,3.4869326424684064e-05,2.2218307193786667e-05,8.825566705001708e-05,0.0007378831302446002,0.00011735063754633596,0.9999805975836542,27,0.9999832166110981,3.486991165952845e-05,0.0,4.464151542313378,0.0,3.486991165952845e-05,0.0007378955146319912,,,5,0.9994060141392178,0.9952030948980755,136046.92160275436,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,53,0.25,0.8869892767318968,1.6653345369377348e-14,275733427.31036246,152150551.03517973,1.8150428797757672,1.8122407407292813,0.5185185185185185,5.829425367155856,11.242463208086294,1.6697768785189508,0.28643936123220765,3.1806086890770553,0.000699037867887859,1.2729189107227472,2.9423438762728544,0.9997624214241153,0.5673792852740287,0.0006990378678879573,-9.82287168271867e-17,0.9997624214241153,120,4.7550950811111585,27.003885114076812,0.037666233798166526,0.0006353312514632249,0.006112435075881264,0.013407827933762195,0.07815993227553422,1000,5,1.1215528930091159,0.7718738417451442,4733.071541650782,0.0,6967.7747273107525,2.9423048211174554,2.5636948457457e-05,1.3418206941249392e-05,6.513273193418531e-05,0.0005683806617411515,6.552447421242697e-05,0.9999867265156483,27,0.9999879781264129,2.563725666487166e-05,0.0,6.916989515850909,0.0,2.563725666487166e-05,0.000568387494824206,,,5,0.9996769364612291,0.9969591660987606,185040.13948212,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,54,0.25,0.8869152111751681,1.3877787807814457e-14,152533147.42594957,84754315.06294411,1.803081911669703,1.7997095170041602,0.5185185185185185,5.588682824930784,10.778174019509368,1.305643502471923,0.2336227593105704,3.8832685161095846,0.0011304970229965973,1.279770436262901,2.9422590645169877,0.9996157724394055,0.565038153269147,0.0011304970229978999,-1.302560490024085e-15,0.999615772439405,120,4.7552174386107255,27.006175458110647,0.03768821881087439,0.0035595591773226734,0.0092445752705001,0.018898436183795757,0.1056173657184298,1000,5,1.7339358373901734,0.6294156237148707,4731.73954736882,0.0,4506.930265086097,2.9421917830247324,4.280144834878079e-05,2.4480043905529128e-05,0.00010746838085618396,0.0008794961557802996,0.00014353248636004009,0.9999771327096697,27,0.999979867607805,4.2802310061229934e-05,0.0,5.389820405806947,0.0,4.2802310061229934e-05,0.0008795138624983203,,,5,0.9991097401478418,0.9935072938041875,110834.20541726895,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,55,0.25,0.999956249500061,1.4988010832439613e-14,57698984.02020335,35874871.03337741,1.6109966211845739,1.6083398311459054,0.5185185185185185,6.196885770567466,11.951136843237256,1.4132000000520903,0.2280500322862462,4.018091743447243,0.0011638753333425007,1.3916309493965302,2.9419658261035364,0.9996043885612077,0.5269724287587443,0.0011638753333425194,-1.8648277366750676e-17,0.9996043885612077,120,4.755640492215613,27.0140958673828,0.037617140792493585,0.012879656057024161,0.01751286174451171,0.028087844576096237,0.17405716437952135,1000,5,1.16697749558547,0.7609348724187109,4734.210892460786,0.0,6696.55407479006,2.9418785203006355,2.9190217145119272e-05,5.811558575590694e-05,7.903265749525019e-05,0.0005939950248145814,0.0004908476510324808,0.9999703239914868,27,0.999956249500076,2.9191494287143468e-05,0.0,7.2886113302543745,0.0,2.9191494287143468e-05,0.0005940210135308888,,,5,0.9995821662518978,0.9963133984872551,162515.56111716168,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,56,0.25,0.8869764290697182,1.2878587085651816e-14,278889603.4620702,154509067.03643692,1.8077941820475802,1.8050047729322023,0.5185185185185185,5.84002309892964,11.262901690792878,1.65757465296547,0.2838301535603978,3.2104162372962985,0.0007136506452402596,1.2769706598600639,2.942338091138225,0.9997574545741736,0.56600138382939,0.0007136506452430184,-2.7588608481066146e-15,0.9997574545741726,120,4.755103427296221,27.004041335639993,0.037670361039213035,0.0008987951494603917,0.006392203998928334,0.01375712018581705,0.08034189965992279,1000,5,1.1376799086514309,0.7679866617215007,4732.925516478677,0.0,6869.0040527431875,2.9422982057385005,2.6095078348592994e-05,1.3790321376134902e-05,6.62416653839197e-05,0.0005766447497563132,7.076423010005877e-05,0.9999864443179237,27,0.9999875121873703,2.609540422266745e-05,0.0,6.88306056142993,0.0,2.609540422266745e-05,0.0005766519508773856,,,5,0.9996653890569686,0.9968781496116762,181791.54149637517,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,57,0.25,0.9999278925296953,2.098321516541546e-14,14471799.935102463,8965807.031199135,1.61593706898739,1.6141101280390737,0.5185185185185185,6.09467212639254,11.754010529471328,1.337690073109463,0.21948515775224267,4.168494421814945,0.0012989699083915049,1.387436968525833,2.941642591874551,0.9995584202132579,0.5283461789823712,0.0012989699083928415,-1.3366044382401299e-15,0.9995584202132575,120,4.756106820634811,27.02282915920552,0.03737761411028765,0.02331145420291813,0.02624175974388087,0.0389493902333598,0.23738376299524377,1000,5,0.4728949653298228,0.9248046160858201,4741.899686817382,0.0,16525.293090825697,2.941519670899739,1.2138702942310203e-05,0.0001107822718691108,6.149039397415587e-05,0.00024231222225601086,0.0009951672921615017,0.9999582134909415,27,0.9999278925297163,1.213957829614723e-05,0.0,11.26461011085104,0.0,1.213957829614723e-05,0.00024232969603736674,,,5,0.9999269194452494,0.9990012395018638,390804.894156295,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,58,0.25,0.999982709469868,1.532107773982716e-14,121597839.54173326,75929851.03563437,1.6042760242551497,1.6014497313404001,0.5185185185185185,6.326036030084604,12.200212343734595,1.5202601602932093,0.24031797369843266,3.8200813671562655,0.0010607008363256632,1.396643916422741,2.94229253893377,0.9996394985127107,0.5253211915736775,0.0010607008363256142,4.90059381963448e-17,0.9996394985127107,120,4.75516914523566,27.00527145726864,0.037754559260175895,0.0014638511531892323,0.007010654251796254,0.015030953870852175,0.09508635575355051,1000,5,1.6743532610384477,0.6426506239100032,4729.797580437947,0.0,4667.311304667223,2.9422309314664283,4.0934042423587224e-05,2.0673424917938292e-05,0.00010311047752114477,0.0008502757256741695,0.0001073146331300877,0.9999790614065303,27,0.9999827094698833,4.0934750206674626e-05,0.0,6.192546622991867,0.0,4.0934750206674626e-05,0.0008502904276468598,,,5,0.9991847179014987,0.9939207601856745,115890.44808621686,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,59,0.25,0.663736658588255,1.0325074129013956e-14,380380324.39537346,157804759.05100414,2.413213027829469,2.4104490047250766,0.5185185185185185,4.443145815856517,8.568924073437568,1.3512495164949117,0.3041200024704631,2.904443072452176,0.0006066344528335795,0.9751691797642819,2.9423513269843413,0.9997938266422265,0.6685748670388227,0.0006066344528339917,-4.1210524576174024e-16,0.9997938266422264,120,4.755084332006619,27.00368391666883,0.03751690453716988,0.002154155565676756,0.007725592128711397,0.01735055689219418,0.07709105425833301,1000,5,0.9589614239729101,0.81118066807395,4737.794788980727,0.0,8149.15773240941,2.9423149796437706,2.1370656596421287e-05,1.4976683974419474e-05,5.438448156554205e-05,0.00048444558777824975,6.780438348945387e-05,0.9999876468386908,27,0.9999886911384357,2.137089827650672e-05,0.0,5.699733540347621,0.0,2.137089827650672e-05,0.000484451066368294,,,5,0.9997748749554695,0.9976797824441288,221980.2885831775,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,60,0.25,0.9999847847508013,1.6431300764452317e-14,80764213.167876,50440267.03293225,1.6039789423607407,1.6011852814963363,0.5185185185185185,6.436241875786901,12.412752189017596,1.6603592735470798,0.2579703040361706,3.564122206289821,0.0008946449551755749,1.3968336836675423,2.942309758550493,0.9996959378758217,0.5252594735791237,0.0008946449551748021,7.728193085476676e-16,0.9996959378758219,120,4.755144302579985,27.004806440847922,0.037752596412111275,0.0011367108735281983,0.006651816261093276,0.013897150230130387,0.08944542026526676,1000,5,1.4139533375750815,0.7022672755869579,4730.124453032512,0.0,5526.864073642892,2.9422598115237357,3.36618873858825e-05,1.6285139370724387e-05,8.50618959600066e-05,0.0007180387604685859,9.154429874693446e-05,0.9999830245518467,27,0.9999847847508178,3.366239956723591e-05,0.0,6.828963948912868,0.0,3.366239956723591e-05,0.0007180496857730366,,,5,0.999445993952749,0.9954467983953506,140926.87269910268,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,61,0.25,0.8869776038294169,1.4099832412739488e-14,248977887.53639907,138580507.03451982,1.7993661942244537,1.7966299363761147,0.5185185185185185,5.892227432460581,11.363581476888264,1.7025970873284597,0.2889564442045746,3.1561835468507318,0.0006848306245197932,1.2817287770277181,2.9423479006736453,0.9997672502886681,0.5643857149814715,0.0006848306245197614,3.176712365382528e-17,0.9997672502886681,120,4.755089275128075,27.003776439838504,0.03767024363831882,0.0003964338215786379,0.005858135743129021,0.01297133239725325,0.07643004058666027,1000,5,1.1043134074267165,0.7760329132554176,4732.968959289986,0.0,7076.548967617033,2.9423098965272687,2.5165786554116513e-05,1.2838359822691492e-05,6.394316486488167e-05,0.0005596673466094164,6.122011304523248e-05,0.9999870837346027,27,0.9999883347443876,2.516608012242982e-05,0.0,7.041912700270596,0.0,2.516608012242982e-05,0.000559673875348232,,,5,0.9996886044305725,0.9970417737722997,188504.5201452784,False,True,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,52,0.5,0.6647854548776491,8.881784197001252e-15,476388060.6601015,94515172.41766943,5.043753605542609,5.04033424977429,0.5185185185185185,2.290260768839743,4.416931482762362,0.9837293516849174,0.42952722461524734,1.8010464436042393,0.00026156079540944077,0.2795139390065409,2.9423942445464153,0.9999111061354561,0.9050045929349521,0.0002615607954060185,3.4222841574504947e-15,0.9999111061354573,120,4.755022415052642,27.00252500925693,0.037272402425322204,0.004818845359423517,0.010535154574434026,0.026035352296137997,0.05962774596676658,1000,5,0.40578894369651225,0.9390440554138031,4745.83341183,0.0,19258.10947943367,2.9423759398631844,7.98341695406555e-06,1.0321266276507745e-05,1.9564280067119545e-05,0.00020393104584572852,3.80654694964265e-05,0.9999937789834707,27,0.9999928973730963,7.983473657256139e-06,0.0,4.464130377119478,0.0,7.983473657256139e-06,0.0002039324943021491,,,5,0.999968301627734,0.9994659675159216,594214.8012522921,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,53,0.5,0.887923381156316,1.5765166949677223e-14,542475811.5811274,152150560.4188008,3.568190331253243,3.5653881923795745,0.5185185185185185,3.2879711703940018,6.341087257188432,1.5211768555505571,0.4626490856269499,1.8205987303646818,0.00021602287734505895,0.5719511845659018,2.9424036192339216,0.9999265828535783,0.8056176994797152,0.00021602287734339646,1.6624885062349604e-15,0.9999265828535788,120,4.755008890237502,27.00227187021029,0.0373567916908991,0.0006353312122802754,0.006093102072097068,0.01609691268682454,0.05292618484662854,1000,5,0.3452565343830191,0.9513038424219041,4743.321912471787,0.0,22634.554671691487,2.9423886564341517,6.641130895150605e-06,8.321668875012388e-06,1.5851216021766648e-05,0.00017381469790045889,2.6356963422883087e-05,0.9999949147697916,27,0.999993756229029,6.641172360665772e-06,0.0,6.916969958751749,0.0,6.641172360665772e-06,0.00017381578316640013,,,5,0.9999780450823483,0.9995944942718816,714315.7684494837,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
NPP,optimality,9,5,54,0.5,0.8878933260216137,1.2434497875801753e-14,301970877.8606728,84754324.4465652,3.5662687990774518,3.5628964047852856,0.5185185185185185,3.1636568628050283,6.101338235409698,1.2136989901513855,0.38363799956335026,2.1794022782836624,0.00034544267822425427,0.5725481319516601,2.942380459494083,0.9998825975488284,0.8054132904178868,0.0003454426782255344,-1.280117505053635e-15,0.9998825975488279,120,4.755042302679291,27.002897243043112,0.037366116418350276,0.003559558783224145,0.009200132438497221,0.020906344204975783,0.06614049932023577,1000,5,0.5347799102309869,0.91118660782354,4742.834987780702,0.0,14612.979571120708,2.9423580216468257,1.0952179777548945e-05,1.1485667479636852e-05,2.740577352233224e-05,0.0002693114770034359,4.872542769829334e-05,0.9999923742535793,27,0.9999916752766771,1.0952270951730182e-05,0.0,5.389789181574235,0.0,1.0952270951730182e-05,0.0002693137189656333,,,5,0.9999404609913366,0.9991434306108249,433143.41208458086,False,False,flat on the feasible set (objective invisible to the circuit),flat on the feasible set (objective invisible to the circuit)
